,possible10,total10,ratio10,possible13,total13,ratio13
55,4737,10000,0.4737,14195,28561,0.4970064073386786
56,6084,10000,0.6084,15930,28561,0.5577535800567207
57,4014,10000,0.4014,12094,28561,0.42344455726340113
58,4242,10000,0.4242,11544,28561,0.40418752844788347
59,3404,10000,0.3404,10948,28561,0.38331991176779523
60,6831,10000,0.6831,18955,28561,0.6636672385420679
61,3288,10000,0.3288,10306,28561,0.36084170722313647
62,3910,10000,0.391,11016,28561,0.38570078078498654
63,5271,10000,0.5271,13979,28561,0.48944364693112985
64,5246,10000,0.5246,14162,28561,0.49585098560974755
65,3925,10000,0.3925,13025,28561,0.4560414551311229
66,4655,10000,0.4655,14693,28561,0.5144427716116382
67,2786,10000,0.2786,9918,28561,0.3472567487132803
68,3665,10000,0.3665,11569,28561,0.4050628479394979
69,3458,10000,0.3458,10942,28561,0.3831098350898078
70,5764,10000,0.5764,14584,28561,0.5106263786281993
71,2776,10000,0.2776,9198,28561,0.32204754735478447
72,6405,10000,0.6405,17811,28561,0.6236126186057911
73,2700,10000,0.27,9230,28561,0.323167956304051
74,3114,10000,0.3114,9396,28561,0.32898007772837085
75,3787,10000,0.3787,11737,28561,0.41094499492314696
76,3374,10000,0.3374,11284,28561,0.3950842057350933
77,3440,10000,0.344,12198,28561,0.4270858863485172
78,4057,10000,0.4057,13599,28561,0.4761387906585904
79,2412,10000,0.2412,8338,28561,0.29193655684324776
80,5706,10000,0.5706,15186,28561,0.531704071986275
81,3616,10000,0.3616,10858,28561,0.38016876159798324
82,2593,10000,0.2593,8467,28561,0.29645320541997827
83,2070,10000,0.207,8348,28561,0.29228668463989355
84,5056,10000,0.5056,15322,28561,0.5364658100206575
85,2724,10000,0.2724,9324,28561,0.32645915759252125
86,2292,10000,0.2292,8146,28561,0.2852141031476489
87,2344,10000,0.2344,8744,28561,0.3061517453870663
88,3650,10000,0.365,12678,28561,0.4438920205875144
89,1914,10000,0.1914,7260,28561,0.25419278036483317
90,5522,10000,0.5522,14918,28561,0.5223206470361682
91,2523,10000,0.2523,10019,28561,0.35079303945940266
92,2466,10000,0.2466,9302,28561,0.3256888764399006
93,2030,10000,0.203,8118,28561,0.2842337453170407
94,1888,10000,0.1888,7376,28561,0.2582542628059242
95,1976,10000,0.1976,7958,28561,0.2786317005707083
96,4622,10000,0.4622,14232,28561,0.498301880186268
97,1414,10000,0.1414,6734,28561,0.23577605826126535
98,2723,10000,0.2723,9291,28561,0.32530373586359024
99,2798,10000,0.2798,10611,28561,0.3715206050208326
100,3590,10000,0.359,11544,28561,0.40418752844788347
